matchday,matchtime,country1,country2,rate1,rate2
20-Nov-2022,23:00,Qatar,Ecuador,1,2
21-Nov-2022,23:00,Senegal,Netherlands,1,2
21-Nov-2022,20:00,England,Iran,1,2
22-Nov-2022,02:00,United States,Wales,1,2
22-Nov-2022,17:00,Argentina,Saudi Arabia,1,2
22-Nov-2022,20:00,Denmark,Tunisia,1,2
22-Nov-2022,23:00,Mexico,Poland,1,2
23-Nov-2022,02:00,France,Australia,1,2
23-Nov-2022,17:00,Morocco,Croatia,1,2
23-Nov-2022,20:00,Germany,Japan,1,2
23-Nov-2022,23:00,Spain,Costa Rica,1,2
24-Nov-2022,02:00,Belgium,Canada,0,0
24-Nov-2022,17:00,Switzerland,Cameroon,0,0
24-Nov-2022,20:00,Uruguay,Korea Republic,0,0
24-Nov-2022,23:00,Portugal,Ghana,0,0
25-Nov-2022,02:00,Brazil,Serbia,0,0
25-Nov-2022,17:00,Wales,Iran,0,0
25-Nov-2022,20:00,Qatar,Senegal,0,0
25-Nov-2022,23:00,Netherlands,Ecuador,0,0
26-Nov-2022,02:00,England,United States,0,0
26-Nov-2022,17:00,Tunisia,Australia,0,0
26-Nov-2022,20:00,Poland,Saudi Arabia,0,0
26-Nov-2022,23:00,France,Denmark,0,0
27-Nov-2022,02:00,Argentina,Mexico,0,0
27-Nov-2022,17:00,Japan,Costa Rica,0,0
27-Nov-2022,20:00,Belgium,Morocco,0,0
27-Nov-2022,23:00,Croatia,Canada,0,0
28-Nov-2022,02:00,Spain,Germany,0,0
28-Nov-2022,17:00,Cameroon,Serbia,0,0
28-Nov-2022,20:00,Korea Republic,Ghana,0,0
28-Nov-2022,23:00,Brazil,Switzerland,0,0
29-Nov-2022,02:00,Portugal,Uruguay,0,0
29-Nov-2022,22:00,Ecuador,Senegal,0,0
29-Nov-2022,22:00,Netherlands,Qatar,0,0
30-Nov-2022,02:00,Wales,England,0,0
30-Nov-2022,02:00,Iran,United States,0,0
30-Nov-2022,22:00,Australia,Denmark,0,0
30-Nov-2022,22:00,Tunisia,France,0,0
01-Dec-2022,02:00,Poland,Argentina,0,0
01-Dec-2022,02:00,Saudi Arabia,Mexico,0,0
01-Dec-2022,22:00,Croatia,Belgium,0,0
01-Dec-2022,22:00,Canada,Morocco,0,0
02-Dec-2022,02:00,Japan,Spain,0,0
02-Dec-2022,02:00,Costa Rica,Germany,0,0
02-Dec-2022,22:00,Ghana,Uruguay,0,0
02-Dec-2022,22:00,Korea Republic,Portugal,0,0
03-Dec-2022,02:00,Serbia,Switzerland,0,0
03-Dec-2022,02:00,Cameroon,Brazil,0,0
